model,num_tuning_folds,full_train_rows,test_rows,fit_seconds,decision_threshold,C,class_weight,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,n_estimators,max_depth,min_samples_leaf,learning_rate,subsample,max_iter
hist_gradient_boosting,3,504091,50347,9.14,0.2833333333333334,,,0.7835620791705563,0.43670974992975553,0.6835623969213854,0.532939008186533,0.8336419199452945,,8.0,50.0,0.05,,250.0
random_forest,3,504091,50347,69.09,0.5166666666666667,,balanced_subsample,0.7720221661668024,0.42208853723925976,0.7097306212204508,0.5293587010004921,0.8320819216148622,200.0,20.0,5.0,,,
gradient_boosting,3,504091,50347,71.64,0.25000000000000006,,,0.7622897094166484,0.4076858813700919,0.6975261132490379,0.5146009085009734,0.8222802224938854,250.0,2.0,,0.05,0.8,
logistic_regression,3,504091,50347,0.69,0.5833333333333335,0.01,balanced,0.7725981687091584,0.41786461967899513,0.6583837273227048,0.511248665955176,0.8217350902459452,,,,,,
