count,lat_bin,lon_bin,lat_center,lon_center
13,4193,-8782,41.93,-87.82000000000001
12,4169,-8758,41.69,-87.58
11,4200,-8794,42.0,-87.94
11,4197,-8793,41.97,-87.93
11,4199,-8791,41.99,-87.91
10,4199,-8785,41.99,-87.85000000000001
10,4202,-8778,42.02,-87.78
10,4197,-8791,41.97,-87.91
9,4168,-8770,41.68,-87.7
9,4195,-8789,41.95,-87.89
9,4169,-8756,41.69,-87.56
8,4167,-8760,41.67,-87.60000000000001
8,4168,-8758,41.68,-87.58
7,4200,-8793,42.0,-87.93
7,4165,-8757,41.65,-87.57000000000001
7,4200,-8792,42.0,-87.92
7,4170,-8758,41.7,-87.58
6,4196,-8790,41.96,-87.9
6,4169,-8774,41.69,-87.74
6,4174,-8753,41.74,-87.53
5,4196,-8793,41.96,-87.93
4,4165,-8758,41.65,-87.58
4,3662,-9169,36.62,-91.69
3,4199,-8790,41.99,-87.9
3,4191,-8762,41.910000000000004,-87.62
2,4177,-8775,41.77,-87.75
2,4198,-8786,41.980000000000004,-87.86
2,4164,-8754,41.64,-87.54
1,4168,-8774,41.68,-87.74
1,4167,-8759,41.67,-87.59
1,4196,-8783,41.96,-87.83
1,4164,-8759,41.64,-87.59
1,4195,-8785,41.95,-87.85000000000001
1,4197,-8792,41.97,-87.92
