count,lat_bin,lon_bin,lat_center,lon_center
5370,4195,-8771,41.95,-87.71000000000001
5353,4173,-8760,41.730000000000004,-87.60000000000001
5336,4179,-8770,41.79,-87.7
5318,4178,-8759,41.78,-87.59
5317,4196,-8771,41.96,-87.71000000000001
5287,4182,-8761,41.82,-87.61
5280,4168,-8764,41.68,-87.64
5258,4190,-8770,41.9,-87.7
5254,4180,-8766,41.800000000000004,-87.66
5242,4175,-8762,41.75,-87.62
5228,4184,-8773,41.84,-87.73
5205,4172,-8763,41.72,-87.63
5201,4184,-8762,41.84,-87.62
5182,4185,-8762,41.85,-87.62
5160,4172,-8762,41.72,-87.62
5132,4179,-8763,41.79,-87.63
5115,4200,-8767,42.0,-87.67
5074,4192,-8772,41.92,-87.72
5062,4170,-8763,41.7,-87.63
5037,4184,-8772,41.84,-87.72
5020,4192,-8771,41.92,-87.71000000000001
5007,4191,-8772,41.910000000000004,-87.72
4988,4197,-8772,41.97,-87.72
4977,4180,-8760,41.800000000000004,-87.60000000000001
4958,4184,-8763,41.84,-87.63
4957,4174,-8761,41.74,-87.61
4957,4179,-8769,41.79,-87.69
4947,4176,-8767,41.76,-87.67
4886,4192,-8765,41.92,-87.65
4877,4192,-8777,41.92,-87.77
4772,4169,-8763,41.69,-87.63
4767,4185,-8768,41.85,-87.68
4766,4171,-8763,41.71,-87.63
4724,4184,-8771,41.84,-87.71000000000001
4719,4196,-8766,41.96,-87.66
4684,4194,-8773,41.94,-87.73
4671,4200,-8769,42.0,-87.69
4661,4186,-8765,41.86,-87.65
4646,4194,-8772,41.94,-87.72
4609,4180,-8765,41.800000000000004,-87.65
4599,4172,-8766,41.72,-87.66
4596,4169,-8761,41.69,-87.61
4545,4193,-8776,41.93,-87.76
4501,4194,-8775,41.94,-87.75
4496,4184,-8765,41.84,-87.65
4424,4186,-8763,41.86,-87.63
4415,4191,-8774,41.910000000000004,-87.74
4332,4198,-8769,41.980000000000004,-87.69
4331,4201,-8766,42.01,-87.66
4318,4171,-8764,41.71,-87.64
4302,4187,-8762,41.87,-87.62
4298,4181,-8766,41.81,-87.66
4289,4182,-8769,41.82,-87.69
4282,4199,-8770,41.99,-87.7
4257,4190,-8766,41.9,-87.66
4220,4186,-8762,41.86,-87.62
4217,4172,-8764,41.72,-87.64
4210,4193,-8772,41.93,-87.72
4210,4194,-8766,41.94,-87.66
4208,4189,-8767,41.89,-87.67
4207,4175,-8759,41.75,-87.59
4203,4193,-8774,41.93,-87.74
4202,4193,-8770,41.93,-87.7
4182,4182,-8763,41.82,-87.63
4145,4176,-8768,41.76,-87.68
4143,4198,-8791,41.980000000000004,-87.91
4132,4182,-8770,41.82,-87.7
4113,4194,-8767,41.94,-87.67
4105,4201,-8768,42.01,-87.68
4091,4174,-8764,41.74,-87.64
4084,4197,-8769,41.97,-87.69
4074,4200,-8770,42.0,-87.7
4047,4181,-8769,41.81,-87.69
4044,4195,-8775,41.95,-87.75
4036,4193,-8775,41.93,-87.75
4016,4187,-8775,41.87,-87.75
3996,4170,-8761,41.7,-87.61
3982,4196,-8772,41.96,-87.72
3960,4187,-8768,41.87,-87.68
3947,4166,-8760,41.660000000000004,-87.60000000000001
3938,4174,-8762,41.74,-87.62
3912,4181,-8770,41.81,-87.7
3859,4178,-8763,41.78,-87.63
3858,4193,-8767,41.93,-87.67
3851,4169,-8764,41.69,-87.64
3829,4179,-8774,41.79,-87.74
3817,4194,-8776,41.94,-87.76
3799,4186,-8770,41.86,-87.7
3790,4187,-8776,41.87,-87.76
3753,4193,-8768,41.93,-87.68
3744,4191,-8770,41.910000000000004,-87.7
3728,4173,-8759,41.730000000000004,-87.59
3715,4182,-8760,41.82,-87.60000000000001
3699,4178,-8771,41.78,-87.71000000000001
3691,4168,-8766,41.68,-87.66
3687,4197,-8773,41.97,-87.73
3687,4194,-8777,41.94,-87.77
3675,4175,-8774,41.75,-87.74
3658,4173,-8761,41.730000000000004,-87.61
3611,4180,-8761,41.800000000000004,-87.61
3602,4199,-8767,41.99,-87.67
3601,4192,-8774,41.92,-87.74
3593,4180,-8770,41.800000000000004,-87.7
3589,4198,-8767,41.980000000000004,-87.67
3579,4173,-8764,41.730000000000004,-87.64
3575,4176,-8760,41.76,-87.60000000000001
3569,4192,-8776,41.92,-87.76
3549,4174,-8758,41.74,-87.58
3549,4186,-8767,41.86,-87.67
3540,4192,-8768,41.92,-87.68
3535,4196,-8773,41.96,-87.73
3510,4174,-8759,41.74,-87.59
3503,4183,-8767,41.83,-87.67
3503,4176,-8769,41.76,-87.69
3448,4174,-8767,41.74,-87.67
3446,4180,-8772,41.800000000000004,-87.72
3444,4193,-8766,41.93,-87.66
3433,4173,-8756,41.730000000000004,-87.56
3404,4197,-8767,41.97,-87.67
3397,4167,-8764,41.67,-87.64
3352,4193,-8777,41.93,-87.77
3322,4183,-8763,41.83,-87.63
3315,4199,-8769,41.99,-87.69
3304,4200,-8768,42.0,-87.68
3277,4167,-8762,41.67,-87.62
3251,4193,-8779,41.93,-87.79
3240,4194,-8771,41.94,-87.71000000000001
3237,4187,-8767,41.87,-87.67
3228,4193,-8769,41.93,-87.69
3210,4201,-8769,42.01,-87.69
3190,4171,-8765,41.71,-87.65
3177,4177,-8760,41.77,-87.60000000000001
3153,4179,-8771,41.79,-87.71000000000001
3143,4171,-8761,41.71,-87.61
3123,4195,-8773,41.95,-87.73
3118,4169,-8766,41.69,-87.66
